Data transakcji,Dane kontrahenta,Kwota transakcji (waluta rachunku)
2025-01-09, OSKAR CZESŁAW STENCEL ,14
2025-01-04, OSKAR STENCEL ,-145
2025-01-15, P U SILVANA HANNA SWIECIC  GRODZISK ,-34
2025-02-05, PAN PIETRUSZKA  WARSZAWA 01175 POL ,"-13,63"
2024-11-28, PAN PIETRUSZKA  WARSZAWA 01175 POL ,"-28,74"
2024-12-11, PAN PIETRUSZKA  WARSZAWA 01175 POL ,"-3,8"
2024-12-05, PANI EDYTA ,-200
2024-11-29, PANI EDYTA ,-200
2024-12-14, PANI EDYTA ,-200
2024-12-19, PANI EDYTA ,-200
2024-11-19, PANI EDYTA ,-200
2024-11-21, PANI EDYTA ,-200
2025-01-17, PANI EDYTA ,-200
2025-01-02, PANI EDYTA ,-200
2025-01-09, PANI EDYTA ,-200
2025-01-22, PARADOX CAFE  WARSZAWA 01157 POL ,-15
2025-02-03, PARIS OPTIQUE WES.ARKAD  WARSZAWA ,"-9,9"
2025-02-10, PAYPRO S.A. PASTELOWA 8 POZNAN ,-220
2025-01-21, PAYPRO S.A. PASTELOWA 8 POZNAN ,-100
2024-12-03, PAYPRO S.A. UL. PASTELOWA 8 POZNAN ,-99
2024-12-28, PAYPRO S.A. UL. PASTELOWA 8 POZNAN ,"-29,89"
2025-02-04, PAYU GRUNWALDZKA 186 POZNAN ,"-28,88"
2024-12-16, PAYU GRUNWALDZKA 186 POZNAN ,"-59,99"
2024-12-19, PAYU GRUNWALDZKA 186 POZNAN ,"-59,99"
2024-11-20, PAYU GRUNWALDZKA 186 POZNAN ,"-87,69"
2025-02-05, PIEKARNIA K. I A. C  WARSZAWA  POL ,"-15,2"
2025-01-07, PIEKARNIA PIEKUS  BYDGOSZCZ 85124 P ,"-24,72"
2025-02-10, PIEKARNIA SOPLICOWO  WARSZAWA  POL ,"-8,5"
2025-02-03, PIEKARNIA SOPLICOWO  WARSZAWA  POL ,"-8,5"
2025-01-03," PKP INFORMATYKA"" SPÓŁKA ALEJE JEROZOLIMSKIE 142A WARSZAWA ""","-13,72"
2024-12-19," PKP INFORMATYKA"" SPÓŁKA ALEJE JEROZOLIMSKIE 142A WARSZAWA ""","-29,89"
2025-01-07," PKP INFORMATYKA"" SPÓŁKA ALEJE JEROZOLIMSKIE 142A WARSZAWA ""","-29,89"
2025-02-03, PLAYSTATION NETWORK  HILVERSUM  NLD ,"-85,47"
2025-01-17, PUTKA 11 LISTOPADA 10  WARSZAWA  PO ,"-13,19"
2024-11-29, PUTKA 11 LISTOPADA 10  WARSZAWA  PO ,"-27,06"
2024-12-03, PUTKA 11 LISTOPADA 10  WARSZAWA  PO ,"-3,1"
2024-12-03, PUTKA 11 LISTOPADA 10  WARSZAWA  PO ,"-15,16"
2024-12-04, PUTKA 11 LISTOPADA 10  WARSZAWA  PO ,"-19,02"
2025-02-07, PUTKA 11 LISTOPADA 10  WARSZAWA  PO ,"-4,6"
2024-12-16, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-26,9"
2025-02-11, PUTKA MLYNARSKA 23  WARSZAWA  POL ,-19
2024-11-20, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-18,05"
2024-12-07, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-30,11"
2024-12-06, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-3,98"
2025-01-10, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-10,9"
2024-12-30, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-9,15"
2025-01-15, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-10,1"
2024-12-05, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-23,46"
2024-12-04, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-5,2"
2024-12-19, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-38,9"
2024-11-27, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-4,99"
2025-02-01, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-17,22"
2024-12-03, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-11,25"
2024-12-31, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-9,15"
2024-11-28, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-9,15"
2025-01-31, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-5,98"
2024-12-20, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-9,15"
2024-12-03, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-7,15"
2024-11-18, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-5,97"
2025-02-08, PUTKA MLYNARSKA 23  WARSZAWA  POL ,"-10,36"
